"no.","name","census 2001","census 2006","calculation 2010","annualgrowth","latitude","longitude","parent division","name variants","metropolitan area"
225,"Edson","7 585","8 098","8 507",1.24,"53.58°N","116.42°W","Alberta"," "," "
226,"Eganville","1 230","1 240","1 245",0.1,"45.53°N","77.10°W","Ontario"," "," "
227,"Elkford","2 574","2 443","2 339",-1.08,"50.06°N","114.88°W","British Columbia"," "," "
228,"Elk Point","1 445","1 487","1 518",0.52,"53.90°N","110.90°W","Alberta"," "," "
229,"Elliot Lake","11 842","11 420","11 072",-0.77,"46.39°N","82.66°W","Ontario"," "," "
230,"Elmira","8 155","8 794","9 302",1.41,"43.60°N","80.55°W","Ontario"," ","Kitchener"
231,"Elmvale","2 176","2 183","2 183",0,"44.58°N","79.87°W","Ontario"," "," "
232,"Embrun","4 468","5 655","6 777",4.63,"45.29°N","75.30°W","Ontario"," "," "
233,"Enderby","2 823","2 843","2 851",0.07,"50.55°N","119.13°W","British Columbia"," "," "
234,"Enfield","3 250","3 415","3 537",0.88,"44.93°N","63.54°W","Nova Scotia"," "," "
235,"Englehart","1 595","1 494","1 416",-1.33,"47.82°N","79.87°W","Ontario"," "," "
236,"Erin","2 890","2 831","2 778",-0.47,"43.77°N","80.07°W","Ontario"," "," "
237,"Espanola","4 433","4 334","4 247",-0.51,"46.25°N","81.77°W","Ontario"," "," "
238,"Essex","7 002","7 105","7 167",0.22,"42.17°N","82.82°W","Ontario"," ","Detroit-Windsor"
239,"Esterhazy","2 348","2 336","2 318",-0.19,"50.65°N","102.08°W","Saskatchewan"," "," "
240,"Estevan","10 242","10 084","9 896",-0.47,"49.14°N","103.01°W","Saskatchewan"," "," "
241,"Everett","1 146","1 385","1 601",3.69,"44.25°N","80.00°W","Ontario"," "," "
242,"Exeter","4 452","4 657","4 810",0.81,"43.35°N","81.48°W","Ontario"," "," "
243,"Fairview","3 155","3 297","3 406",0.82,"56.07°N","118.40°W","Alberta"," "," "
244,"Farnham","5 963","6 148","6 278",0.52,"45.28°N","72.97°W","Quebec"," "," "
245,"Fenelon Falls","1 890","2 164","2 398",2.6,"44.53°N","78.75°W","Ontario"," "," "
246,"Fergus","16 732","18 211","19 402",1.6,"43.70°N","80.37°W","Ontario"," "," "
247,"Ferme-Neuve","2 081","1 936","1 825",-1.47,"46.70°N","75.45°W","Quebec"," "," "
248,"Fermont","2 918","2 623","2 407",-2.13,"52.79°N","67.06°W","Quebec"," "," "
249,"Fernie","5 002","4 621","4 333",-1.6,"49.50°N","115.07°W","British Columbia"," "," "
250,"Filion","1 227","1 854","2 475",7.49,"45.81°N","74.10°W","Quebec"," ","Montréal"
251,"Flin Flon","6 267","5 836","5 507",-1.44,"54.77°N","101.89°W","Manitoba"," "," "
252,"Foam Lake","1 218","1 123","1 050",-1.67,"51.65°N","103.53°W","Saskatchewan"," "," "
253,"Forest","2 857","2 899","2 924",0.21,"43.10°N","82.00°W","Ontario"," "," "
254,"Forestville","3 512","3 145","2 877",-2.2,"48.73°N","69.07°W","Quebec"," "," "
255,"Fort Albany",441,"1 805","2 312",6.38,"","","Ontario"," "," "
256,"Fort-Coulonge","2 864","2 419","2 168",-2.7,"45.85°N","76.75°W","Quebec"," "," "
257,"Fort Erie","15 133","15 744","16 194",0.71,"42.91°N","78.93°W","Ontario"," ","Buffalo-Saint Catharines"
258,"Fort Frances","8 275","7 972","7 690",-0.9,"48.62°N","93.42°W","Ontario"," "," "
259,"Fort MacLeod","2 910","2 982","3 034",0.43,"49.73°N","113.40°W","Alberta","Fort Macleod"," "
260,"Fort Nelson","4 188","4 514","4 773",1.4,"58.82°N","122.53°W","British Columbia"," "," "
261,"Fort Qu'Appelle","2 184","2 134","2 088",-0.54,"50.77°N","103.78°W","Saskatchewan"," "," "
262,"Fort Saint James","2 381","1 845","1 627",-3.09,"54.43°N","124.25°W","British Columbia"," "," "
263,"Fort Saint John","16 226","17 692","18 700",1.39,"56.25°N","120.85°W","British Columbia"," "," "
264,"Fortune","1 161","1 018",915,-2.63,"","","Newfoundland and Labrador"," "," "
265,"Fox Creek","2 337","2 278","2 229",-0.54,"54.40°N","116.84°W","Alberta"," "," "
266,"Frankford","2 197","2 299","2 375",0.82,"44.20°N","77.60°W","Ontario"," "," "
267,"Fraser Lake","1 268","1 113","1 026",-2.01,"59.72°N","135.05°W","British Columbia","Fraser"," "
268,"Fredericton","54 068","56 245","57 795",0.68,"45.96°N","66.66°W","New Brunswick"," ","Fredericton"
269,"Fruitvale","3 773","3 627","3 508",-0.83,"49.12°N","117.55°W","British Columbia"," "," "
270,"Gambo","1 768","1 745","1 721",-0.35,"48.78°N","54.22°W","Newfoundland and Labrador"," "," "
271,"Gananoque","5 167","5 285","5 364",0.37,"44.33°N","76.17°W","Ontario"," "," "
272,"Gander","9 391","9 410","9 267",-0.38,"48.95°N","54.65°W","Newfoundland and Labrador"," "," "
273,"Gaspé","2 921","3 187","3 401",1.64,"48.82°N","64.51°W","Quebec"," "," "
274,"Gentilly","2 079","2 027","1 982",-0.56,"46.35°N","72.45°W","Quebec"," ","Trois-Rivières"
275,"Georgetown","31 510","36 690","41 202",2.94,"43.66°N","79.93°W","Ontario","Halton Hills","Toronto"
276,"Geraldton","2 224","2 012","1 898",-1.45,"49.72°N","86.97°W","Ontario"," "," "
277,"Gibbons","2 654","2 642","2 628",-0.13,"53.84°N","113.33°W","Alberta"," "," "
278,"Gibsons","7 435","8 018","8 482",1.42,"49.40°N","123.50°W","British Columbia"," "," "
279,"Gimli","1 940","1 891","1 848",-0.57,"50.63°N","97.00°W","Manitoba"," "," "
280,"Glencoe","2 152","2 095","2 046",-0.59,"42.75°N","81.70°W","Ontario"," "," "
281,"Goderich","7 604","7 563","7 511",-0.17,"43.73°N","81.70°W","Ontario"," "," "
282,"Golden","4 020","3 811","3 646",-1.1,"51.30°N","116.97°W","British Columbia"," "," "
283,"Golden","1 207","1 392","1 552",2.76,"45.58°N","77.25°W","Ontario","Golden Lake"," "
284,"Gold River","1 359","1 362","1 361",-0.02,"49.78°N","126.05°W","British Columbia"," "," "
285,"Goulds","4 444","4 587","4 684",0.52,"47.40°N","52.79°W","Newfoundland and Labrador"," "," "
286,"Granby","53 126","56 984","60 009",1.3,"45.41°N","72.73°W","Quebec"," ","Granby"
287,"Grand Bank","2 807","2 518","2 289",-2.36,"47.10°N","55.76°W","Newfoundland and Labrador"," "," "
288,"Grand Bend","1 949","2 026","2 083",0.7,"43.32°N","81.75°W","Ontario"," "," "
289,"Grand Centre","11 327","11 855","12 262",0.85,"54.42°N","110.22°W","Alberta"," "," "
290,"Grande Cache","3 828","3 690","3 580",-0.75,"53.88°N","119.12°W","Alberta"," "," "
291,"Grande Prairie","36 735","46 850","55 664",4.4,"55.18°N","118.80°W","Alberta"," "," "
292,"Grande-Rivière","1 345","1 239","1 159",-1.65,"48.38°N","64.50°W","Quebec"," "," "
293,"Grand Falls","5 863","5 650","5 470",-0.81,"47.05°N","67.73°W","New Brunswick","Grand-Sault"," "
294,"Grand Falls-Windsor","12 445","12 471","12 294",-0.36,"48.93°N","55.66°W","Newfoundland and Labrador"," "," "
295,"Grand Forks","4 199","4 158","4 116",-0.25,"49.05°N","118.47°W","British Columbia"," "," "
296,"Grand Valley","1 757","1 414","1 280",-2.46,"43.90°N","80.32°W","Ontario"," "," "
297,"Gravelbourg","1 187","1 089","1 014",-1.77,"49.88°N","106.55°W","Saskatchewan"," "," "
298,"Gravenhurst","5 528","5 606","5 652",0.2,"44.92°N","79.37°W","Ontario"," "," "
299,"Grimshaw","2 435","2 537","2 615",0.76,"56.18°N","117.60°W","Alberta"," "," "
300,"Guelph","106 920","115 635","122 878",1.53,"43.56°N","80.26°W","Ontario"," ","Guelph"
301,"Hagersville","2 484","2 527","2 554",0.27,"42.95°N","80.05°W","Ontario"," "," "
302,"Haileybury","10 436","10 402","10 348",-0.13,"47.43°N","79.63°W","Ontario"," "," "
303,"Halifax","276 412","282 924","287 082",0.37,"44.67°N","63.61°W","Nova Scotia"," ","Halifax"
304,"Hamilton","620 232","647 634","667 977",0.78,"43.26°N","79.85°W","Ontario"," ","Toronto"
305,"Hammonds Plains Road","1 503","1 687","1 840",2.19,"44.79°N","63.71°W","Nova Scotia"," ","Halifax"
306,"Hampton","2 724","2 756","2 771",0.14,"45.53°N","65.83°W","New Brunswick"," "," "
307,"Hanna","2 986","2 847","2 738",-0.97,"51.63°N","111.92°W","Alberta"," "," "
308,"Hanover","6 869","7 147","7 352",0.71,"44.15°N","81.03°W","Ontario"," "," "
309,"Hantsport","1 396","1 397","1 393",-0.07,"45.07°N","64.18°W","Nova Scotia"," "," "
310,"Happy Valley-Goose Bay","6 758","6 583","6 425",-0.61,"53.34°N","60.40°W","Newfoundland and Labrador","Goose Bay-Happy Valley"," "
311,"Harbour Breton","2 079","1 877","1 727",-2.06,"47.48°N","55.83°W","Newfoundland and Labrador"," "," "
312,"Harrison Hot Springs","1 343","1 573","1 775",3.07,"","","British Columbia"," "," "
313,"Harriston","2 034","2 108","2 162",0.63,"43.92°N","80.88°W","Ontario"," "," "
314,"Harrow","2 935","2 913","2 888",-0.22,"42.03°N","82.92°W","Ontario"," ","Detroit-Windsor"
315,"Hastings","1 208","1 195","1 182",-0.27,"44.30°N","77.95°W","Ontario"," "," "
316,"Hauterive","12 609","12 160","11 786",-0.78,"49.18°N","68.27°W","Quebec"," "," "
317,"Havelock","1 328","1 298","1 272",-0.5,"44.44°N","77.88°W","Ontario"," "," "
318,"Havre-Saint-Pierre","3 291","2 864","2 620",-2.2,"50.25°N","63.58°W","Quebec"," "," "
319,"Hawkesbury","11 634","12 267","12 750",0.97,"45.62°N","74.60°W","Ontario"," "," "
320,"Hayes","1 000","1 053","1 093",0.94,"","","Nova Scotia","Hayes Subdivision"," "
321,"Hay River","2 892","2 874","2 854",-0.17,"60.86°N","115.75°W","Northwest Territories"," "," "
322,"Hearst","4 493","4 366","4 258",-0.62,"49.70°N","83.67°W","Ontario"," "," "
323,"Hébertville","1 194","1 080",996,-2,"48.40°N","71.68°W","Quebec"," "," "
324,"Hensall","1 194","1 128","1 076",-1.17,"43.43°N","81.50°W","Ontario"," "," "
325,"High Level","3 444","3 887","4 264",2.34,"58.52°N","117.13°W","Alberta"," "," "
326,"High Prairie","2 737","2 750","2 755",0.05,"55.43°N","116.48°W","Alberta"," "," "
327,"High River","9 383","10 767","11 965",2.67,"50.58°N","113.87°W","Alberta"," "," "
328,"Hillsburgh","1 198","1 156","1 121",-0.77,"43.81°N","80.15°W","Ontario"," "," "
329,"Hinton","9 405","9 738","9 988",0.64,"53.40°N","117.58°W","Alberta"," "," "
330,"Hope","4 588","4 455","4 343",-0.63,"49.38°N","121.43°W","British Columbia"," "," "
331,"Houston","2 728","2 304","2 070",-2.64,"54.40°N","126.65°W","British Columbia"," "," "
332,"Hudson Bay","1 778","1 626","1 511",-1.82,"52.85°N","102.38°W","Saskatchewan"," "," "
333,"Humber Arm South","1 263","1 305","1 334",0.55,"49.07°N","58.18°W","Newfoundland and Labrador"," "," "
334,"Humboldt","5 161","4 998","4 856",-0.72,"52.20°N","105.12°W","Saskatchewan"," "," "
335,"Huntingdon","2 819","2 726","2 648",-0.72,"45.08°N","74.18°W","Quebec"," "," "
336,"Huntsville","7 124","6 854","6 633",-0.82,"45.32°N","79.22°W","Ontario"," "," "
337,"Indian Head","1 758","1 634","1 538",-1.5,"50.53°N","103.67°W","Saskatchewan"," "," "
338,"Ingersoll","10 977","11 760","12 406",1.35,"43.03°N","80.88°W","Ontario"," "," "
339,"Innisfil","6 969","7 316","7 578",0.88,"44.26°N","79.64°W","Ontario","Innisfail"," "
340,"Inuvik","2 884","3 479","4 019",3.67,"68.37°N","133.73°W","Northwest Territories","Inuuvik"," "
341,"Invermere","2 858","3 002","3 111",0.9,"50.50°N","116.03°W","British Columbia"," "," "
342,"Inverness","1 702","1 464","1 319",-2.57,"46.24°N","61.31°W","Nova Scotia"," "," "
343,"Iqaluit","5 236","6 184","7 056",3.35,"63.74°N","68.55°W","Nunavut","Frobisher Bay"," "
344,"Iroquois","1 228","1 190","1 158",-0.68,"44.85°N","75.32°W","Ontario"," "," "
345,"Iroquois Falls","4 007","3 656","3 469",-1.3,"48.77°N","80.69°W","Ontario"," "," "
346,"Irricana","1 043","1 243","1 423",3.44,"51.32°N","113.62°W","Alberta"," "," "
347,"Jarvis","2 180","2 417","2 612",1.96,"42.99°N","79.70°W","Ontario"," "," "
348,"Jasper","3 716","3 673","3 634",-0.27,"52.88°N","118.08°W","Alberta"," "," "
349,"Joliette","36 231","38 564","40 368",1.15,"46.03°N","73.45°W","Quebec"," "," "
350,"Kamloops","67 952","70 117","71 494",0.49,"50.68°N","120.34°W","British Columbia"," ","Kamloops"
351,"Kamsack","2 009","1 713","1 507",-3.15,"51.57°N","101.90°W","Saskatchewan"," "," "
352,"Kanata","70 904","85 112","100 562",4.26,"45.34°N","75.88°W","Ontario"," ","Ottawa"
353,"Kangerdlinerk","2 177","2 358","2 516",1.63,"62.82°N","92.12°W","Nunavut","Rankin Inlet"," "
354,"Kapuskasing","8 664","7 915","7 517",-1.28,"49.43°N","82.42°W","Ontario"," "," "
355,"Kedgwick","1 184","1 151","1 122",-0.64,"47.63°N","67.33°W","New Brunswick"," "," "
356,"Kelowna","116 673","126 384","137 447",2.12,"49.89°N","119.46°W","British Columbia"," ","Kelowna"
357,"Kemptville","3 657","3 539","3 440",-0.71,"45.02°N","75.63°W","Ontario"," "," "
358,"Kenora","11 816","11 306","11 201",-0.23,"49.78°N","94.49°W","Ontario"," "," "
359,"Kensington","1 385","1 485","1 563",1.29,"46.43°N","63.65°W","Prince Edward Island"," "," "
360,"Kent","2 522","2 908","3 241",2.75,"49.24°N","121.81°W","British Columbia"," "," "
361,"Kentville","13 121","13 552","13 851",0.55,"45.08°N","64.51°W","Nova Scotia"," "," "
362,"Killam","1 004","1 019","1 029",0.24,"52.78°N","111.85°W","Alberta"," "," "
363,"Killarney","2 269","2 273","2 269",-0.04,"49.18°N","99.67°W","Manitoba"," "," "
364,"Kimberley","6 484","6 139","5 868",-1.12,"49.68°N","115.98°W","British Columbia"," "," "
365,"Kincardine","6 410","6 449","6 462",0.05,"44.17°N","81.63°W","Ontario"," "," "
366,"Kindersley","4 548","4 412","4 292",-0.69,"51.47°N","109.13°W","Saskatchewan"," "," "
367,"Kingsey Falls","1 456","1 507","1 543",0.59,"45.85°N","72.08°W","Quebec"," "," "
368,"Kingston","108 664","109 431","109 734",0.07,"44.23°N","76.50°W","Ontario"," ","Kingston"
369,"Kingston-Greenwood","7 180","6 528","6 040",-1.92,"44.98°N","64.90°W","Nova Scotia","Greenwood, Kingston - Greenwood"," "
370,"Kirkland Lake","7 574","7 448","7 177",-0.92,"48.17°N","80.03°W","Ontario"," "," "
371,"Kitchener","387 319","422 514","450 917",1.64,"43.46°N","80.50°W","Ontario"," ","Kitchener"
372,"Kitimat","8 800","7 600","6 931",-2.28,"54.01°N","128.70°W","British Columbia"," "," "
373,"Komoka","1 215","1 363","1 487",2.2,"","","Ontario"," "," "
374,"Labelle","1 219","1 145","1 087",-1.29,"46.28°N","74.73°W","Quebec"," "," "
375,"Labrador City","9 638","8 979","8 664",-0.89,"52.94°N","66.92°W","Newfoundland and Labrador"," "," "
376,"Lac-Alouette","2 246","2 270","2 282",0.13,"","","Quebec"," "," "
377,"Lac du Bonnet","1 089","1 009",948,-1.55,"50.27°N","96.05°W","Manitoba"," "," "
378,"Lac-Etchemin","2 276","2 381","2 459",0.81,"46.40°N","70.50°W","Quebec"," "," "
379,"Lachute","10 300","10 433","10 305",-0.31,"45.65°N","74.35°W","Quebec"," "," "
380,"Lac la Biche","2 776","2 758","2 739",-0.17,"54.77°N","111.96°W","Alberta"," "," "
381,"Lac-Lapierre","2 224","2 367","2 478",1.15,"45.82°N","73.77°W","Quebec"," ","Montréal"
382,"Lac-Mégantic","4 726","4 644","4 568",-0.41,"45.58°N","70.88°W","Quebec"," "," "
383,"Lacolle","1 503","1 546","1 576",0.48,"45.08°N","73.37°W","Quebec"," "," "
384,"Lacombe","9 547","10 886","12 038",2.55,"52.47°N","113.73°W","Alberta"," "," "
385,"La Crète","1 607","1 455","1 385",-1.23,"59.13°N","117.55°W","Alberta"," "," "
386,"Ladysmith","7 720","8 467","9 221",2.16,"48.99°N","123.82°W","British Columbia"," "," "
387,"Lake Cowichan","2 857","3 052","3 205",1.23,"48.82°N","124.03°W","British Columbia"," "," "
388,"Lake Echo","3 665","3 527","3 411",-0.83,"44.82°N","63.44°W","Nova Scotia"," "," "
389,"Lakefield","2 734","2 739","2 736",-0.03,"44.43°N","78.27°W","Ontario"," ","Kawartha Lakes"
390,"La Malbaie","4 753","4 528","4 347",-1.01,"47.65°N","70.17°W","Quebec"," "," "
391,"Lamont","1 692","1 664","1 640",-0.36,"53.75°N","112.78°W","Alberta"," "," "
392,"Langdon","1 599","2 380","3 181",7.52,"","","Alberta"," "," "
393,"Langenburg","1 107","1 048","1 000",-1.17,"50.83°N","101.70°W","Saskatchewan"," "," "
394,"Langham","1 145","1 120","1 097",-0.52,"52.37°N","106.97°W","Saskatchewan"," "," "
395,"Lanigan","1 289","1 233","1 187",-0.95,"51.85°N","105.03°W","Saskatchewan"," "," "
396,"L'Annonciation","1 984","1 636","1 443",-3.09,"46.40°N","74.87°W","Quebec"," "," "
397,"Lantz","2 113","1 626","1 400",-3.67,"45.12°N","63.71°W","Nova Scotia"," "," "
398,"La Pocatière","4 152","4 218","4 258",0.24,"47.40°N","70.01°W","Quebec"," "," "
399,"La Ronge","5 423","5 962","6 395",1.77,"55.10°N","105.30°W","Saskatchewan"," "," "
400,"La Sarre","6 498","6 368","6 250",-0.47,"48.80°N","79.20°W","Quebec"," "," "
401,"L'Ascension-de-Notre-Seigneur","1 687","1 119","1 010",-2.53,"48.68°N","71.67°W","Quebec"," "," "
402,"La Tuque","10 524","9 716","9 028",-1.82,"47.44°N","72.78°W","Quebec"," "," "
403,"Laurentides","4 787","5 908","6 941",4.11,"45.85°N","73.77°W","Quebec"," ","Montréal"
404,"Laurier-Station","2 376","2 403","2 417",0.15,"46.54°N","71.63°W","Quebec"," "," "
405,"Lavaltrie","8 618","9 465","10 593",2.85,"45.89°N","73.29°W","Quebec"," ","Montréal"
406,"Leamington","29 073","31 113","32 714",1.26,"42.06°N","82.60°W","Ontario"," "," "
407,"Lebel-sur-Quévillon","3 146","2 724","2 483",-2.29,"49.07°N","76.99°W","Quebec"," "," "
408,"Le Bic","1 260","1 238","1 218",-0.41,"48.37°N","68.72°W","Quebec"," "," "
409,"Leduc","15 032","16 967","18 359",1.99,"53.26°N","113.56°W","Alberta"," ","Edmonton"
410,"L'Épiphanie","5 839","6 436","6 923",1.84,"45.85°N","73.48°W","Quebec"," ","Montréal"
411,"Les Cèdres","1 584","1 875","2 132",3.26,"45.32°N","74.06°W","Quebec"," ","Montréal"
412,"Les Coteaux","10 680","13 104","15 325",3.99,"45.30°N","74.22°W","Quebec"," "," "
413,"Les Escoumins","1 797","1 598","1 483",-1.85,"48.35°N","69.42°W","Quebec"," "," "
414,"Lethbridge","67 532","74 822","80 227",1.76,"49.69°N","112.83°W","Alberta"," "," "
415,"Lewisporte","2 909","2 846","2 787",-0.52,"49.23°N","55.07°W","Newfoundland and Labrador"," "," "
416,"Lillooet","2 358","2 111","1 973",-1.68,"50.68°N","121.93°W","British Columbia"," "," "
417,"Lindsay","17 757","19 361","20 394",1.31,"44.35°N","78.74°W","Ontario"," ","Kawartha Lakes"
418,"Linière","1 283","1 252","1 225",-0.54,"46.05°N","70.52°W","Quebec"," "," "
419,"Lions Bay","1 379","1 328","1 286",-0.8,"49.46°N","123.24°W","British Columbia"," "," "
420,"Listowel","5 905","6 303","6 614",1.21,"43.73°N","80.97°W","Ontario"," "," "
421,"Little Current","1 564","1 362","1 252",-2.08,"45.97°N","81.93°W","Ontario"," "," "
422,"Lively","6 704","6 689","6 659",-0.11,"46.43°N","81.15°W","Ontario"," "," "
423,"Liverpool","2 888","2 759","2 653",-0.97,"44.03°N","64.72°W","Nova Scotia"," "," "
424,"Lloydminster","20 988","24 028","26 463",2.44,"53.28°N","110.01°W","Alberta"," "," "
425,"Logan Lake","2 088","2 072","2 054",-0.22,"50.49°N","120.83°W","British Columbia"," "," "
426,"London","337 866","353 069","363 448",0.73,"42.97°N","81.24°W","Ontario"," "," "
427,"Longlac","1 748","1 364","1 213",-2.89,"49.78°N","86.55°W","Ontario"," "," "
428,"Lorette","1 326","1 447","1 544",1.64,"","","Manitoba"," "," "
429,"L'Orignal","2 438","2 555","2 643",0.85,"","","Ontario"," "," "
430,"Louiseville","5 725","5 583","5 459",-0.56,"46.25°N","72.93°W","Quebec"," "," "
431,"Lucan","2 010","1 997","1 982",-0.19,"43.18°N","81.40°W","Ontario"," "," "
432,"Luceville","1 351","1 378","1 395",0.31,"48.52°N","68.33°W","Quebec"," "," "
433,"Lucknow","1 126","1 162","1 188",0.55,"43.95°N","81.52°W","Ontario"," "," "
434,"Lumby","1 618","1 634","1 642",0.12,"50.25°N","118.97°W","British Columbia"," "," "
435,"Lumsden","1 596","1 523","1 463",-1,"50.65°N","104.87°W","Saskatchewan"," "," "
436,"Lunenburg","2 568","2 317","2 131",-2.07,"44.37°N","64.32°W","Nova Scotia"," "," "
437,"MacAdam","1 513","1 404","1 320",-1.53,"45.58°N","67.33°W","New Brunswick","McAdam"," "
438,"Macamic","1 534","1 500","1 470",-0.5,"48.77°N","79.00°W","Quebec"," "," "
439,"MacEwen","1 722","1 609","1 521",-1.4,"46.16°N","64.99°W","New Brunswick","McEwen"," "
440,"Mackenzie","4 956","4 316","3 959",-2.14,"55.32°N","123.08°W","British Columbia"," "," "
441,"Macklin","1 330","1 290","1 255",-0.69,"52.33°N","109.95°W","Saskatchewan"," "," "
442,"Madoc","1 375","1 435","1 480",0.77,"44.52°N","77.48°W","Ontario"," "," "
443,"Magog","17 927","18 887","19 973",1.41,"45.26°N","72.14°W","Quebec"," "," "
444,"Magrath","1 993","2 081","2 149",0.81,"49.42°N","112.88°W","Alberta"," "," "
445,"Malartic","3 650","3 457","3 304",-1.13,"48.13°N","78.12°W","Quebec"," "," "
446,"Manitouwadge","2 949","2 290","2 032",-2.94,"49.13°N","85.80°W","Ontario"," "," "
447,"Maniwaki","3 793","4 177","4 490",1.82,"46.37°N","75.97°W","Quebec"," "," "
448,"Manning","1 293","1 493","1 667",2.79,"56.93°N","117.61°W","Alberta"," "," "
449,"Maple Creek","2 270","2 198","2 135",-0.72,"49.92°N","109.47°W","Saskatchewan"," "," "
